N-I,CS,NVD120,NVD120A,X2,FVP,IPP,Cu thickness,KPP-193,2
N-I,CS,NVD120,NVD120A,BUMP,SR,IPP,SRO ,KPP-209,3
N-I,CS,NVD120,NVD120A,BUMP,SR,IPP,SRO ,KPP-210,3
N-I,CS,NVD120,NVD120A,BUMP,SR,IPP,SRT,KPP-218,4
N-I,CS,SPL863,SPL863A,X2,FVP,IPP,Cu thickness,KPP-096,2
N-I,CS,SPL863,SPL863A,X2,FVP,IPP,Cu thickness,KPP-099,2
N-I,CS,SPL863,SPL863A,BUMP,SR,IPP,SRO ,KPP-113,3
N-I,CS,SPL863,SPL863A,BUMP,SR,IPP,SRO ,KPP-114,3
N-I,CS,SPL863,SPL863A,BUMP,SR,IPP,SRO ,KPP-117,3
N-I,CS,SPL863,SPL863A,BUMP,SR,IPP,SRO ,KPP-118,3
N-I,CS,SPL863,SPL863A,BUMP,SR,IPP,SRT,KPP-120,4
N-I,CS,AMD130,AMD130A,X2,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD130,AMD130A,OPEN,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD130,AMD130A,X2,Litho,IPP,Line width,KPP-302,1
N-I,CS,AMD130,AMD130A,OPEN,Litho,IPP,Line width,KPP-302,1
N-I,CS,AMD130,AMD130A,BUMP,SR,IPP,SRT,KPP-405,4
N-I,CS,AMD130,AMD130A,BUMP,SR,IPP,SRO ,KPP-406,3
N-I,CS,AMD130,AMD130A,BUMP,SR,IPP,SRO ,KPP-407,3
N-I,CS,AMD130,AMD130A,BUMP,SR,IPP,SRO ,KPP-408,3
N-I,CS,NVD124,NVD124A,X2,FVP,IPP,Cu thickness,KPP-148,2
N-I,CS,NVD124,NVD124A,X2,FVP,IPP,Cu thickness,KPP-152,2
N-I,CS,NVD124,NVD124A,BUMP,SR,IPP,SRO ,KPP-175,3
N-I,CS,NVD124,NVD124A,X2,FVP,IPP,Cu thickness,KPP-192,2
N-I,CS,NVD124,NVD124A,X2,FVP,IPP,Cu thickness,KPP-194,2
N-I,CS,SPL859,SPL859A,X2,FVP,IPP,Cu thickness,KPP-108,2
N-I,CS,SPL859,SPL859A,X2,FVP,IPP,Cu thickness,KPP-110,2
N-I,CS,SPL859,SPL859A,X2,Litho,IPP,Line width,KPP-191,1
N-I,CS,SPL859,SPL859A,OPEN,Litho,IPP,Line width,KPP-191,1
N-I,CS,SPL859,SPL859A,X2,Litho,IPP,Line width,KPP-195,1
N-I,CS,SPL859,SPL859A,OPEN,Litho,IPP,Line width,KPP-195,1
N-I,CS,SPL859,SPL859A,X2,FVP,IPP,Cu thickness,KPP-197,2
N-I,CS,SPL859,SPL859A,BUMP,SR,IPP,SRO ,KPP-214,3
N-I,CS,SPL859,SPL859A,BUMP,SR,IPP,SRO ,KPP-232,3
N-I,CS,SPL859,SPL859A,BUMP,SR,IPP,SRT,KPP-234,4
N-I,CS,JYKB73,JYKB73A,BUMP,SR,IPP,SRO ,KPP-216,3
N-I,CS,JYKB73,JYKB73A,BUMP,SR,IPP,SRT,KPP-226,4
N-I,CS,JYKB66,JYKB66A,BUMP,SR,IPP,SRO ,KPP-434,3
N-I,CS,JYKB66,JYKB66A,BUMP,SR,IPP,SRT,KPP-444,4
N-I,CS,JYKB61,JYKB61A,X2,FVP,IPP,Cu thickness,KPP-411,2
N-I,CS,JYKB61,JYKB61A,BUMP,SR,IPP,SRO ,KPP-439,3
N-I,CS,JYKB61,JYKB61A,BUMP,SR,IPP,SRO ,KPP-440,3
N-I,CS,JYKB61,JYKB61A,BUMP,SR,IPP,SRT,KPP-451,4
N-I,CS,SPLU35,SPLU35A,X2,FVP,IPP,Cu thickness,KPP-005,2
N-I,CS,SPLU35,SPLU35A,X2,FVP,IPP,Cu thickness,KPP-008,2
N-I,CS,SPLU35,SPLU35A,X2,Litho,IPP,Line width,KPP-055,1
N-I,CS,SPLU35,SPLU35A,OPEN,Litho,IPP,Line width,KPP-055,1
N-I,CS,SPLU35,SPLU35A,X2,Litho,IPP,Line width,KPP-057,1
N-I,CS,SPLU35,SPLU35A,OPEN,Litho,IPP,Line width,KPP-057,1
N-I,CS,SPLU35,SPLU35A,X2,FVP,IPP,Cu thickness,KPP-061,2
N-I,CS,SPLU35,SPLU35A,X2,FVP,IPP,Cu thickness,KPP-063,2
N-I,CS,SPLU35,SPLU35A,X2,FVP,IPP,Cu thickness,KPP-116,2
N-I,CS,SPLU35,SPLU35A,X2,FVP,IPP,Cu thickness,KPP-118,2
N-I,CS,SPLU35,SPLU35A,BUMP,SR,IPP,SRO ,KPP-135,3
N-I,CS,SPLU35,SPLU35A,BUMP,SR,IPP,SRO ,KPP-136,3
N-I,CS,SPLU35,SPLU35A,BUMP,SR,IPP,SRO ,KPP-148,3
N-I,CS,SPLU35,SPLU35A,BUMP,SR,IPP,SRT,KPP-152,4
N-I,CS,SPLU35,SPLU35A,BUMP,SR,IPP,SRT,KPP-159,4
N-I,CS,AMD142,AMD142A,X2,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD142,AMD142A,OPEN,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD142,AMD142A,X2,FVP,IPP,Cu thickness,KPP-302,2
N-I,CS,AMD142,AMD142A,BUMP,SR,IPP,SRT,KPP-405,4
N-I,CS,AMD142,AMD142A,BUMP,SR,IPP,SRO ,KPP-406,3
N-I,CS,AMD129,AMD129A,X2,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD129,AMD129A,OPEN,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD129,AMD129A,X2,FVP,IPP,Cu thickness,KPP-302,2
N-I,CS,AMD129,AMD129A,BUMP,SR,IPP,SRT,KPP-405,4
N-I,CS,AMD129,AMD129A,BUMP,SR,IPP,SRO ,KPP-406,3
,,,,,,,,,
N-I,CS,AMD120,AMD120A,X2,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD120,AMD120A,OPEN,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD120,AMD120A,X2,FVP,IPP,Cu thickness,KPP-302,2
N-I,CS,AMD120,AMD120A,BUMP,SR,IPP,SRT,KPP-405,4
N-I,CS,AMD120,AMD120A,BUMP,SR,IPP,SRO ,KPP-406,3
N-I,CS,AMD121,AMD121A,X2,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD121,AMD121A,OPEN,Litho,IPP,Line width,KPP-301,1
N-I,CS,AMD121,AMD121A,X2,FVP,IPP,Cu thickness,KPP-302,2
N-I,CS,AMD121,AMD121A,BUMP,SR,IPP,SRT,KPP-405,4
N-I,CS,AMD121,AMD121A,BUMP,SR,IPP,SRO ,KPP-406,3
N-I,CS,AMD121,AMD121A,BUMP,SR,IPP,SRO ,KPP-407,3
